 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.223276016251E+05    0.22328E+05   -0.98517E+05 12200   0.134E+03
DAV:   2     0.965207206635E+02   -0.22231E+05   -0.21245E+05 12152   0.469E+02
DAV:   3    -0.133577473294E+04   -0.14323E+04   -0.12018E+04 13480   0.131E+02
DAV:   4    -0.155786498846E+04   -0.22209E+03   -0.18746E+03 21032   0.489E+01
DAV:   5    -0.157075540902E+04   -0.12890E+02   -0.11817E+02 19568   0.117E+01    0.145E+02
DAV:   6    -0.194335817994E+04   -0.37260E+03   -0.28096E+03 15808   0.166E+02    0.289E+02
DAV:   7    -0.175857890097E+04    0.18478E+03   -0.10523E+03 13360   0.143E+02    0.237E+02
DAV:   8    -0.222799972785E+04   -0.46942E+03   -0.62282E+02 16592   0.134E+02    0.329E+02
DAV:   9    -0.178871406294E+04    0.43929E+03   -0.25837E+02 14584   0.931E+01    0.259E+02
DAV:  10    -0.170158452583E+04    0.87130E+02   -0.29230E+02 15952   0.753E+01    0.223E+02
DAV:  11    -0.152291746581E+04    0.17867E+03   -0.25681E+02 14056   0.682E+01    0.172E+02
DAV:  12    -0.159172595405E+04   -0.68808E+02   -0.48466E+02 16584   0.104E+02    0.212E+02
DAV:  13    -0.152417276624E+04    0.67553E+02   -0.27203E+02 15456   0.587E+01    0.169E+02
DAV:  14    -0.150177774187E+04    0.22395E+02   -0.16139E+02 13624   0.775E+01    0.170E+02
DAV:  15    -0.148087284239E+04    0.20905E+02   -0.89572E+01 13064   0.601E+01    0.170E+02
DAV:  16    -0.149552837579E+04   -0.14656E+02   -0.11654E+02 17424   0.602E+01    0.186E+02
DAV:  17    -0.142606961193E+04    0.69459E+02   -0.52436E+01 13024   0.391E+01    0.150E+02
DAV:  18    -0.140905127253E+04    0.17018E+02   -0.52614E+01 13768   0.405E+01    0.145E+02
DAV:  19    -0.137512343650E+04    0.33928E+02   -0.32849E+01 12832   0.331E+01    0.116E+02
DAV:  20    -0.134333169358E+04    0.31792E+02   -0.21879E+01 12848   0.252E+01    0.724E+01
DAV:  21    -0.133785009683E+04    0.54816E+01   -0.98158E+00 13488   0.136E+01    0.631E+01
DAV:  22    -0.133989188730E+04   -0.20418E+01   -0.70212E+00 13248   0.147E+01    0.696E+01
DAV:  23    -0.133593449088E+04    0.39574E+01   -0.55731E+00 13152   0.128E+01    0.567E+01
DAV:  24    -0.133434492404E+04    0.15896E+01   -0.45233E+00 13312   0.120E+01    0.517E+01
DAV:  25    -0.133209008469E+04    0.22548E+01   -0.26552E+00 13280   0.880E+00    0.465E+01
DAV:  26    -0.133104547267E+04    0.10446E+01   -0.22550E+00 13392   0.782E+00    0.436E+01
DAV:  27    -0.133241123280E+04   -0.13658E+01   -0.31679E+00 13776   0.114E+01    0.449E+01
DAV:  28    -0.133106623787E+04    0.13450E+01   -0.28054E+00 13568   0.106E+01    0.418E+01
DAV:  29    -0.132832180830E+04    0.27444E+01   -0.17031E+00 13544   0.730E+00    0.303E+01
DAV:  30    -0.132767199841E+04    0.64981E+00   -0.10866E+00 13584   0.522E+00    0.297E+01
DAV:  31    -0.132811199073E+04   -0.43999E+00   -0.86517E-01 13552   0.532E+00    0.343E+01
DAV:  32    -0.132764810563E+04    0.46389E+00   -0.74682E-01 13408   0.468E+00    0.321E+01
DAV:  33    -0.132698902835E+04    0.65908E+00   -0.55938E-01 13408   0.387E+00    0.277E+01
DAV:  34    -0.132631192835E+04    0.67710E+00   -0.65896E-01 13592   0.435E+00    0.231E+01
DAV:  35    -0.132662188220E+04   -0.30995E+00   -0.68339E-01 13600   0.470E+00    0.281E+01
DAV:  36    -0.132828884138E+04   -0.16670E+01   -0.12976E+00 13992   0.649E+00    0.380E+01
DAV:  37    -0.132995419145E+04   -0.16654E+01   -0.14025E+00 13648   0.733E+00    0.502E+01
DAV:  38    -0.132780866786E+04    0.21455E+01   -0.11276E+00 13480   0.623E+00    0.385E+01
DAV:  39    -0.132619889032E+04    0.16098E+01   -0.65886E-01 13360   0.402E+00    0.255E+01
DAV:  40    -0.132656044574E+04   -0.36156E+00   -0.10459E+00 13456   0.447E+00    0.256E+01
DAV:  41    -0.132557286792E+04    0.98758E+00   -0.69201E-01 13432   0.478E+00    0.176E+01
DAV:  42    -0.132546625442E+04    0.10661E+00   -0.55949E-01 13552   0.350E+00    0.172E+01
DAV:  43    -0.132543992548E+04    0.26329E-01   -0.56115E-01 13432   0.295E+00    0.169E+01
DAV:  44    -0.132513684307E+04    0.30308E+00   -0.24901E-01 13392   0.237E+00    0.120E+01
DAV:  45    -0.132503929256E+04    0.97551E-01   -0.19071E-01 13432   0.212E+00    0.891E+00
DAV:  46    -0.132505979389E+04   -0.20501E-01   -0.11945E-01 13384   0.168E+00    0.100E+01
DAV:  47    -0.132503838193E+04    0.21412E-01   -0.11033E-01 13472   0.160E+00    0.833E+00
DAV:  48    -0.132524513728E+04   -0.20676E+00   -0.20115E-01 13512   0.211E+00    0.124E+01
DAV:  49    -0.132506887250E+04    0.17626E+00   -0.11469E-01 13432   0.182E+00    0.112E+01
DAV:  50    -0.132498313219E+04    0.85740E-01   -0.60316E-02 13520   0.121E+00    0.905E+00
DAV:  51    -0.132516068481E+04   -0.17755E+00   -0.26095E-01 16312   0.199E+00    0.122E+01
DAV:  52    -0.132517386335E+04   -0.13179E-01   -0.10832E-01 14264   0.176E+00    0.123E+01
DAV:  53    -0.132516092427E+04    0.12939E-01   -0.12768E-01 14064   0.167E+00    0.135E+01
DAV:  54    -0.132502803893E+04    0.13289E+00   -0.88156E-02 13888   0.153E+00    0.120E+01
DAV:  55    -0.132490025904E+04    0.12778E+00   -0.55645E-02 13712   0.116E+00    0.726E+00
DAV:  56    -0.132496035963E+04   -0.60101E-01   -0.11261E-01 17920   0.141E+00    0.477E+00
DAV:  57    -0.132504461481E+04   -0.84255E-01   -0.59755E-02 15456   0.137E+00    0.570E+00
DAV:  58    -0.132501754779E+04    0.27067E-01   -0.41690E-02 14400   0.119E+00    0.539E+00
DAV:  59    -0.132500113785E+04    0.16410E-01   -0.24333E-02 13888   0.882E-01    0.530E+00
DAV:  60    -0.132499918935E+04    0.19485E-02   -0.25732E-02 13824   0.899E-01    0.417E+00
DAV:  61    -0.132502214694E+04   -0.22958E-01   -0.33403E-02 14128   0.114E+00    0.411E+00
DAV:  62    -0.132499614916E+04    0.25998E-01   -0.30162E-02 13880   0.996E-01    0.295E+00
DAV:  63    -0.132501454425E+04   -0.18395E-01   -0.24468E-02 15264   0.895E-01    0.401E+00
DAV:  64    -0.132499427169E+04    0.20273E-01   -0.20793E-02 14168   0.783E-01    0.326E+00
DAV:  65    -0.132500803782E+04   -0.13766E-01   -0.25036E-02 14248   0.700E-01    0.383E+00
DAV:  66    -0.132500992032E+04   -0.18825E-02   -0.28667E-02 14392   0.102E+00    0.405E+00
DAV:  67    -0.132497981025E+04    0.30110E-01   -0.21510E-02 14048   0.851E-01    0.152E+00
DAV:  68    -0.132498780592E+04   -0.79957E-02   -0.46990E-03 13584   0.379E-01    0.120E+00
DAV:  69    -0.132498723219E+04    0.57373E-03   -0.29863E-03 13456   0.310E-01    0.125E+00
DAV:  70    -0.132498554459E+04    0.16876E-02   -0.19962E-03 13472   0.244E-01    0.104E+00
DAV:  71    -0.132499657534E+04   -0.11031E-01   -0.72986E-03 17272   0.477E-01    0.197E+00
DAV:  72    -0.132498775432E+04    0.88210E-02   -0.57440E-03 15320   0.469E-01    0.785E-01
DAV:  73    -0.132498749016E+04    0.26416E-03   -0.12957E-03 15432   0.179E-01    0.567E-01
DAV:  74    -0.132498866822E+04   -0.11781E-02   -0.10159E-03 13592   0.161E-01    0.700E-01
DAV:  75    -0.132498874528E+04   -0.77064E-04   -0.80593E-04 13552   0.147E-01    0.492E-01
DAV:  76    -0.132499104450E+04   -0.22992E-02   -0.11404E-03 13912   0.208E-01    0.108E+00
DAV:  77    -0.132498963895E+04    0.14056E-02   -0.10683E-03 13664   0.193E-01    0.415E-01
DAV:  78    -0.132498974404E+04   -0.10510E-03   -0.29863E-04 13704   0.948E-02    0.390E-01
DAV:  79    -0.132499004379E+04   -0.29975E-03   -0.22422E-04 13592   0.842E-02    0.397E-01
DAV:  80    -0.132499047582E+04   -0.43204E-03   -0.20508E-04 13512   0.800E-02    0.206E-01
DAV:  81    -0.132499325128E+04   -0.27755E-02   -0.12174E-03 16544   0.204E-01    0.104E+00
DAV:  82    -0.132499108288E+04    0.21684E-02   -0.12321E-03 14288   0.193E-01    0.364E-01
DAV:  83    -0.132499115980E+04   -0.76926E-04   -0.25945E-04 14328   0.832E-02    0.169E-01
DAV:  84    -0.132499147953E+04   -0.31973E-03   -0.11100E-04 13784   0.484E-02    0.197E-01
DAV:  85    -0.132499202157E+04   -0.54204E-03   -0.10686E-04 13840   0.491E-02    0.235E-01
DAV:  86    -0.132499220076E+04   -0.17919E-03   -0.81928E-05 13688   0.494E-02    0.146E-01
DAV:  87    -0.132499234233E+04   -0.14157E-03   -0.49168E-05 12680   0.362E-02    0.105E-01
DAV:  88    -0.132499255322E+04   -0.21089E-03   -0.35134E-05 10688   0.274E-02    0.108E-01
DAV:  89    -0.132499290363E+04   -0.35042E-03   -0.35626E-05 11888   0.274E-02    0.974E-02
DAV:  90    -0.132499305476E+04   -0.15113E-03   -0.21723E-05  9992   0.240E-02    0.117E-01
DAV:  91    -0.132499334163E+04   -0.28687E-03   -0.49905E-05 11904   0.370E-02    0.212E-01
DAV:  92    -0.132499340877E+04   -0.67137E-04   -0.43308E-05 10944   0.354E-02    0.899E-02
DAV:  93    -0.132499353831E+04   -0.12954E-03   -0.14669E-05  8728   0.188E-02    0.835E-02
