,EAM_Energies
0,-800.446607965801
1,-807.228302224329
2,-809.147610755078
3,-306.782591258543
4,-306.938297481091
5,-306.421076482624
6,-310.526189984823
7,-306.445031351149
8,-316.068756414721
9,-860.02272908257
10,-859.776799325802
11,-1070.54406164776
12,-1066.06089536946
13,-1052.71283640767
14,-1119.71201303459
15,-1119.92574766558
16,-1135.80014434459
17,-1135.24450755107
18,-391.474727306659
19,-410.465704102207
20,-394.667659337582
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,-860.159853183956
28,-35.1186110803905
29,-1136.47390277265
30,-1120.94673690999
31,-406.496937759878
32,-818.448164188577
33,-818.089519419671
34,-818.269482120694
35,-817.897134488148
36,-816.942882618371
37,-818.852196159913
38,-818.852196159913
39,-818.852196159913
40,-818.852196159913
41,-818.852196159913
42,-818.852196159913
43,-818.852196159913
44,-818.852196159913
45,-818.852196159913
46,-818.852196159913
47,-818.852196159913
48,-818.852196159913
49,-818.852196159913
50,-818.852196159913
51,-818.852196159913
52,-818.852196159913
53,-818.852196159913
54,-818.852196159913
55,-818.852196159913
56,-818.852196159913
57,-818.852196159913
58,-818.852196159913
59,-818.852196159913
60,-818.852196159913
61,-1075.17250330344
62,-1075.12499426178
63,-1075.0698824672
64,-1072.81431128387
65,-1075.48559520603
66,-1076.80268444519
67,-1076.80268444519
68,-1076.80268444519
69,-1076.80268444519
70,-1076.80268444519
71,-1076.80268444519
72,-1076.80268444519
73,-1076.80268444519
74,-1076.80268444519
75,-1076.80268444519
76,-1076.80268444519
77,-1076.80268444519
78,-1076.80268444519
79,-1076.80268444519
80,-1076.80268444519
81,-1076.80268444519
82,-1076.80268444519
83,-1076.80268444519
84,-1076.80268444519
85,-1076.80268444519
86,-1076.80268444519
87,-1076.80268444519
88,-1076.80268444519
89,-1076.80268444519
90,-1076.80268444519
