 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.223097089394E+05    0.22310E+05   -0.98479E+05 12200   0.134E+03
DAV:   2     0.956594017816E+02   -0.22214E+05   -0.21230E+05 12152   0.469E+02
DAV:   3    -0.133379661240E+04   -0.14295E+04   -0.11983E+04 13472   0.131E+02
DAV:   4    -0.156010090636E+04   -0.22630E+03   -0.18869E+03 21040   0.489E+01
DAV:   5    -0.157114783940E+04   -0.11047E+02   -0.10524E+02 18432   0.117E+01    0.142E+02
DAV:   6    -0.193924320318E+04   -0.36810E+03   -0.28196E+03 15784   0.166E+02    0.289E+02
DAV:   7    -0.174574681064E+04    0.19350E+03   -0.10491E+03 13288   0.140E+02    0.232E+02
DAV:   8    -0.183555868792E+04   -0.89812E+02   -0.63376E+02 16344   0.116E+02    0.269E+02
DAV:   9    -0.207116214266E+04   -0.23560E+03   -0.23696E+02 14248   0.112E+02    0.302E+02
DAV:  10    -0.162698554533E+04    0.44418E+03   -0.35725E+02 17152   0.731E+01    0.188E+02
DAV:  11    -0.155337934295E+04    0.73606E+02   -0.29307E+02 15000   0.775E+01    0.166E+02
DAV:  12    -0.163938538561E+04   -0.86006E+02   -0.36775E+02 16200   0.109E+02    0.197E+02
DAV:  13    -0.150048499219E+04    0.13890E+03   -0.24820E+02 14176   0.723E+01    0.164E+02
DAV:  14    -0.139469285918E+04    0.10579E+03   -0.15416E+02 13616   0.738E+01    0.120E+02
DAV:  15    -0.152022942391E+04   -0.12554E+03   -0.12495E+02 14552   0.699E+01    0.175E+02
DAV:  16    -0.147035289259E+04    0.49877E+02   -0.10323E+02 13208   0.586E+01    0.153E+02
DAV:  17    -0.142448404344E+04    0.45869E+02   -0.59090E+01 12832   0.433E+01    0.124E+02
DAV:  18    -0.138757783346E+04    0.36906E+02   -0.39260E+01 13120   0.369E+01    0.115E+02
DAV:  19    -0.137255402130E+04    0.15024E+02   -0.24580E+01 12992   0.264E+01    0.108E+02
DAV:  20    -0.136525836197E+04    0.72957E+01   -0.16492E+01 13176   0.265E+01    0.957E+01
DAV:  21    -0.135199148425E+04    0.13267E+02   -0.13626E+01 13168   0.204E+01    0.785E+01
DAV:  22    -0.134422123604E+04    0.77702E+01   -0.93661E+00 13144   0.165E+01    0.694E+01
DAV:  23    -0.133890541105E+04    0.53158E+01   -0.72429E+00 13208   0.137E+01    0.594E+01
DAV:  24    -0.133418710800E+04    0.47183E+01   -0.46891E+00 13280   0.101E+01    0.490E+01
DAV:  25    -0.133205545411E+04    0.21317E+01   -0.39722E+00 13264   0.104E+01    0.476E+01
DAV:  26    -0.132950176414E+04    0.25537E+01   -0.25960E+00 13280   0.750E+00    0.385E+01
DAV:  27    -0.132963340402E+04   -0.13164E+00   -0.23810E+00 13344   0.779E+00    0.393E+01
DAV:  28    -0.132871058841E+04    0.92282E+00   -0.16473E+00 13296   0.672E+00    0.382E+01
DAV:  29    -0.132807310578E+04    0.63748E+00   -0.16086E+00 13392   0.699E+00    0.364E+01
DAV:  30    -0.132865556564E+04   -0.58246E+00   -0.18054E+00 13400   0.752E+00    0.316E+01
DAV:  31    -0.132801127991E+04    0.64429E+00   -0.13122E+00 13400   0.616E+00    0.300E+01
DAV:  32    -0.132699796170E+04    0.10133E+01   -0.11076E+00 13464   0.533E+00    0.295E+01
DAV:  33    -0.132773948780E+04   -0.74153E+00   -0.11532E+00 13440   0.640E+00    0.352E+01
DAV:  34    -0.132716024325E+04    0.57924E+00   -0.12460E+00 13504   0.653E+00    0.307E+01
DAV:  35    -0.132651684245E+04    0.64340E+00   -0.96308E-01 13424   0.542E+00    0.277E+01
DAV:  36    -0.132647224583E+04    0.44597E-01   -0.70595E-01 13456   0.465E+00    0.312E+01
DAV:  37    -0.132632782900E+04    0.14442E+00   -0.60968E-01 13552   0.418E+00    0.326E+01
DAV:  38    -0.132562673033E+04    0.70110E+00   -0.51264E-01 13512   0.359E+00    0.274E+01
