 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.223414942378E+05    0.22341E+05   -0.98525E+05 12200   0.134E+03
DAV:   2     0.101402813947E+03   -0.22240E+05   -0.21253E+05 12152   0.469E+02
DAV:   3    -0.133779103360E+04   -0.14392E+04   -0.12107E+04 13680   0.131E+02
DAV:   4    -0.155545164268E+04   -0.21766E+03   -0.18573E+03 20824   0.488E+01
DAV:   5    -0.156723342932E+04   -0.11782E+02   -0.94255E+01 18520   0.116E+01    0.149E+02
DAV:   6    -0.194462305368E+04   -0.37739E+03   -0.28092E+03 15680   0.167E+02    0.290E+02
DAV:   7    -0.177174331666E+04    0.17288E+03   -0.10715E+03 13528   0.145E+02    0.239E+02
DAV:   8    -0.227598962910E+04   -0.50425E+03   -0.64249E+02 16552   0.135E+02    0.338E+02
DAV:   9    -0.179059742699E+04    0.48539E+03   -0.29623E+02 14592   0.925E+01    0.257E+02
DAV:  10    -0.171668426523E+04    0.73913E+02   -0.25865E+02 15792   0.780E+01    0.226E+02
DAV:  11    -0.152888358607E+04    0.18780E+03   -0.28345E+02 14184   0.704E+01    0.173E+02
DAV:  12    -0.161692424899E+04   -0.88041E+02   -0.53511E+02 16824   0.108E+02    0.225E+02
DAV:  13    -0.153392673699E+04    0.82998E+02   -0.31370E+02 15816   0.607E+01    0.168E+02
DAV:  14    -0.150386436446E+04    0.30062E+02   -0.16725E+02 13936   0.790E+01    0.175E+02
DAV:  15    -0.148384350450E+04    0.20021E+02   -0.98743E+01 13184   0.622E+01    0.176E+02
DAV:  16    -0.146576691752E+04    0.18077E+02   -0.13658E+02 19192   0.559E+01    0.171E+02
DAV:  17    -0.141686013634E+04    0.48907E+02   -0.46161E+01 12896   0.389E+01    0.152E+02
DAV:  18    -0.139886515529E+04    0.17995E+02   -0.54248E+01 14256   0.345E+01    0.137E+02
DAV:  19    -0.135085742973E+04    0.48008E+02   -0.26589E+01 12704   0.282E+01    0.847E+01
DAV:  20    -0.134422359239E+04    0.66338E+01   -0.11422E+01 13264   0.169E+01    0.757E+01
DAV:  21    -0.134134662826E+04    0.28770E+01   -0.68513E+00 13112   0.127E+01    0.696E+01
DAV:  22    -0.134110498594E+04    0.24164E+00   -0.65462E+00 13272   0.149E+01    0.709E+01
DAV:  23    -0.133417170442E+04    0.69333E+01   -0.56773E+00 13232   0.133E+01    0.557E+01
DAV:  24    -0.133342474334E+04    0.74696E+00   -0.57615E+00 13256   0.118E+01    0.511E+01
DAV:  25    -0.133531934089E+04   -0.18946E+01   -0.37329E+00 13336   0.123E+01    0.577E+01
DAV:  26    -0.133328193195E+04    0.20374E+01   -0.39412E+00 13400   0.130E+01    0.538E+01
DAV:  27    -0.132859530117E+04    0.46866E+01   -0.32009E+00 13432   0.113E+01    0.379E+01
DAV:  28    -0.132834134528E+04    0.25396E+00   -0.23835E+00 13392   0.899E+00    0.390E+01
DAV:  29    -0.132794721617E+04    0.39413E+00   -0.21759E+00 13408   0.834E+00    0.378E+01
DAV:  30    -0.132806605620E+04   -0.11884E+00   -0.14636E+00 13448   0.683E+00    0.416E+01
DAV:  31    -0.132782526914E+04    0.24079E+00   -0.11892E+00 13360   0.580E+00    0.418E+01
DAV:  32    -0.132669298752E+04    0.11323E+01   -0.83821E-01 13336   0.442E+00    0.349E+01
DAV:  33    -0.132609186684E+04    0.60112E+00   -0.89809E-01 13408   0.535E+00    0.290E+01
DAV:  34    -0.132737703262E+04   -0.12852E+01   -0.16311E+00 13568   0.752E+00    0.371E+01
DAV:  35    -0.132858179997E+04   -0.12048E+01   -0.15410E+00 13520   0.829E+00    0.471E+01
DAV:  36    -0.132949745257E+04   -0.91565E+00   -0.17352E+00 13440   0.791E+00    0.530E+01
DAV:  37    -0.132715909570E+04    0.23384E+01   -0.15477E+00 13504   0.681E+00    0.395E+01
DAV:  38    -0.132616290375E+04    0.99619E+00   -0.82986E-01 13464   0.505E+00    0.347E+01
DAV:  39    -0.132541523926E+04    0.74766E+00   -0.83846E-01 13472   0.485E+00    0.288E+01
DAV:  40    -0.132462382133E+04    0.79142E+00   -0.77445E-01 13416   0.506E+00    0.210E+01
DAV:  41    -0.132450425116E+04    0.11957E+00   -0.65577E-01 13400   0.425E+00    0.199E+01
DAV:  42    -0.132435458446E+04    0.14967E+00   -0.47279E-01 13384   0.354E+00    0.159E+01
DAV:  43    -0.132427341811E+04    0.81166E-01   -0.46124E-01 13472   0.304E+00    0.164E+01
DAV:  44    -0.132394148364E+04    0.33193E+00   -0.23120E-01 13432   0.235E+00    0.125E+01
DAV:  45    -0.132381550406E+04    0.12598E+00   -0.14360E-01 13456   0.161E+00    0.803E+00
DAV:  46    -0.132391572916E+04   -0.10023E+00   -0.12308E-01 13473   0.173E+00    0.108E+01
DAV:  47    -0.132404758782E+04   -0.13186E+00   -0.43750E-01 13536   0.172E+00    0.148E+01
DAV:  48    -0.132394161730E+04    0.10597E+00   -0.83774E-02 13448   0.143E+00    0.134E+01
DAV:  49    -0.132386121315E+04    0.80404E-01   -0.91403E-02 13536   0.155E+00    0.102E+01
DAV:  50    -0.132381556581E+04    0.45647E-01   -0.59074E-02 13528   0.129E+00    0.627E+00
DAV:  51    -0.132383840236E+04   -0.22837E-01   -0.14112E-01 19376   0.163E+00    0.578E+00
DAV:  52    -0.132397052260E+04   -0.13212E+00   -0.13460E-01 15736   0.183E+00    0.890E+00
DAV:  53    -0.132390026987E+04    0.70253E-01   -0.13709E-01 15176   0.190E+00    0.705E+00
DAV:  54    -0.132385716879E+04    0.43101E-01   -0.91403E-02 14944   0.157E+00    0.905E+00
DAV:  55    -0.132378475804E+04    0.72411E-01   -0.36012E-02 14312   0.102E+00    0.874E+00
DAV:  56    -0.132377512181E+04    0.96362E-02   -0.63474E-02 14224   0.111E+00    0.577E+00
DAV:  57    -0.132385311922E+04   -0.77997E-01   -0.42240E-02 13920   0.103E+00    0.589E+00
DAV:  58    -0.132384220398E+04    0.10915E-01   -0.20666E-02 13824   0.774E-01    0.602E+00
DAV:  59    -0.132382824765E+04    0.13956E-01   -0.21358E-02 13808   0.754E-01    0.464E+00
DAV:  60    -0.132384187553E+04   -0.13628E-01   -0.43992E-02 13760   0.834E-01    0.584E+00
DAV:  61    -0.132383549040E+04    0.63851E-02   -0.93966E-02 17914   0.107E+00    0.670E+00
DAV:  62    -0.132381816976E+04    0.17321E-01   -0.50148E-02 15066   0.977E-01    0.402E+00
DAV:  63    -0.132382557542E+04   -0.74057E-02   -0.27468E-02 14298   0.832E-01    0.311E+00
DAV:  64    -0.132382674193E+04   -0.11665E-02   -0.15876E-02 14160   0.705E-01    0.415E+00
DAV:  65    -0.132382795273E+04   -0.12108E-02   -0.19266E-02 14176   0.791E-01    0.552E+00
DAV:  66    -0.132384262851E+04   -0.14676E-01   -0.14583E-01 15024   0.119E+00    0.700E+00
DAV:  67    -0.132380551318E+04    0.37115E-01   -0.34726E-02 14186   0.114E+00    0.602E+00
DAV:  68    -0.132377174344E+04    0.33770E-01   -0.14911E-02 13874   0.684E-01    0.446E+00
DAV:  69    -0.132377607036E+04   -0.43269E-02   -0.92313E-03 13600   0.508E-01    0.260E+00
DAV:  70    -0.132379811974E+04   -0.22049E-01   -0.66516E-03 13552   0.378E-01    0.163E+00
DAV:  71    -0.132383724865E+04   -0.39129E-01   -0.10824E-02 14384   0.597E-01    0.308E+00
DAV:  72    -0.132382411366E+04    0.13135E-01   -0.92008E-03 13704   0.559E-01    0.186E+00
DAV:  73    -0.132381847667E+04    0.56370E-02   -0.21431E-03 13872   0.259E-01    0.152E+00
DAV:  74    -0.132381800089E+04    0.47579E-03   -0.15202E-03 13600   0.207E-01    0.127E+00
DAV:  75    -0.132381904226E+04   -0.10414E-02   -0.17220E-03 13632   0.227E-01    0.994E-01
DAV:  76    -0.132382133682E+04   -0.22946E-02   -0.17930E-03 13664   0.256E-01    0.129E+00
DAV:  77    -0.132381934314E+04    0.19937E-02   -0.14412E-03 13504   0.209E-01    0.835E-01
DAV:  78    -0.132381943039E+04   -0.87252E-04   -0.78945E-04 13664   0.147E-01    0.608E-01
DAV:  79    -0.132382114830E+04   -0.17179E-02   -0.46203E-04 13280   0.122E-01    0.440E-01
DAV:  80    -0.132382179078E+04   -0.64249E-03   -0.26914E-04 13624   0.867E-02    0.389E-01
DAV:  81    -0.132382314270E+04   -0.13519E-02   -0.72706E-04 14120   0.153E-01    0.640E-01
DAV:  82    -0.132382220224E+04    0.94047E-03   -0.56563E-04 13984   0.146E-01    0.320E-01
DAV:  83    -0.132382229596E+04   -0.93719E-04   -0.14895E-04 16632   0.578E-02    0.220E-01
DAV:  84    -0.132382264368E+04   -0.34772E-03   -0.84271E-05 14040   0.480E-02    0.192E-01
DAV:  85    -0.132382299553E+04   -0.35186E-03   -0.72423E-05 13744   0.456E-02    0.150E-01
DAV:  86    -0.132382317042E+04   -0.17489E-03   -0.55072E-05 13048   0.408E-02    0.188E-01
DAV:  87    -0.132382325763E+04   -0.87213E-04   -0.47680E-05 12344   0.385E-02    0.153E-01
DAV:  88    -0.132382350949E+04   -0.25185E-03   -0.40968E-05 11368   0.361E-02    0.189E-01
DAV:  89    -0.132382377735E+04   -0.26787E-03   -0.37119E-05 11328   0.337E-02    0.942E-02
DAV:  90    -0.132382387169E+04   -0.94339E-04   -0.18985E-05  9432   0.233E-02    0.845E-02
DAV:  91    -0.132382403125E+04   -0.15956E-03   -0.38073E-05 11800   0.339E-02    0.145E-01
DAV:  92    -0.132382423686E+04   -0.20560E-03   -0.37816E-05 11384   0.333E-02    0.713E-02
DAV:  93    -0.132382435401E+04   -0.11715E-03   -0.17767E-05  9264   0.196E-02    0.621E-02
